subj	date	exp	trial	FaceLeft	FaceCenter	FaceRight	TestLeft	TestCenter	TestRight	CorrectResp1	CorrectResp2	CorrectResp3	Fixation1	Fixation2	Fixation3	Fixation4	Running	TrialList.Cycle	TrialList.Sample	TestLeft.ACC	TestLeft.RT	TestLeft.RESP	TestLeft.CRESP	TestCenter.ACC	TestCenter.RT	TestCenter.RESP	TestCenter.CRESP	TestRight.ACC	TestRight.RT	TestRight.RESP	TestRight.CRESP
102	20111001	AUS_CMFT	1	 LearnLA004	 ._LearnFA004	 LearnRA004	 ._LearnLA004_T1	 ._LearnFA004_T3	 LearnRA004_T3	 2	 4	 4	 15000	 7500	 3000	 1500	 TrialList	 1	 1	 1	 1729	 2	 2	 1	 2528	 4	 4	 1	 1868	 4	 4
102	20111001	AUS_CMFT	2	 LearnLA011	 ._LearnFA011	 ._LearnRA011	 ._LearnLA011_T2	 ._LearnFA011_T3	 LearnRA011_T3	 3	 4	 4	 1500	 7500	 6000	 4500	 TrialList	 1	 2	 1	 2179	 3	 3	 1	 2826	 4	 4	 1	 2941	 4	 4
102	20111001	AUS_CMFT	3	 LearnLA022	 ._LearnFA022	 LearnRA022	 LearnLA022_T3	 ._LearnFA022_T1	 ._LearnRA022_T1	 4	 2	 2	 7500	 4500	 7500	 7500	 TrialList	 1	 3	 1	 1811	 4	 4	 1	 2102	 2	 2	 0	 1951	 4	 2
102	20111001	AUS_CMFT	4	 LearnLA040	 ._LearnFA040	 ._LearnRA040	 LearnLA040_T2	 ._LearnFA040_T2	 LearnRA040_T1	 3	 3	 2	 7500	 4500	 1500	 7500	 TrialList	 1	 4	 1	 2605	 3	 3	 1	 1825	 3	 3	 0	 0	 	 
102	20111001	AUS_CMFT	5	 LearnLA049	 ._LearnFA049	 LearnRA049	 ._LearnLA049_T3	 ._LearnFA049_T1	 ._LearnRA049_T3	 4	 2	 4	 1500	 7500	 6000	 1500	 TrialList	 1	 5	 1	 1955	 4	 4	 1	 2209	 2	 2	 1	 2733	 4	 4
102	20111001	AUS_CMFT	6	 LearnLA076	 LearnFA076	 LearnRA076	 LearnLA076_T1	 LearnFA076_T3	 LearnRA076_T1	 2	 4	 2	 7500	 7500	 1500	 4500	 TrialList	 1	 6	 1	 1898	 2	 2	 1	 2399	 4	 4	 1	 2090	 2	 2
103	20110504	AUS_CMFT	1	 LearnLA004	 ._LearnFA004	 LearnRA004	 ._LearnLA004_T1	 ._LearnFA004_T3	 LearnRA004_T3	 2	 4	 4	 15000	 7500	 3000	 1500	 TrialList	 1	 1	 1	 3591	 2	 2	 1	 4585	 4	 4	 1	 2152	 4	 4
103	20110504	AUS_CMFT	2	 LearnLA011	 ._LearnFA011	 ._LearnRA011	 ._LearnLA011_T2	 ._LearnFA011_T3	 LearnRA011_T3	 3	 4	 4	 1500	 7500	 6000	 4500	 TrialList	 1	 2	 1	 3095	 3	 3	 1	 3097	 4	 4	 1	 3026	 4	 4
103	20110504	AUS_CMFT	3	 LearnLA022	 ._LearnFA022	 LearnRA022	 LearnLA022_T3	 ._LearnFA022_T1	 ._LearnRA022_T1	 4	 2	 2	 7500	 4500	 7500	 7500	 TrialList	 1	 3	 1	 1953	 4	 4	 1	 2756	 2	 2	 0	 0	 	 
103	20110504	AUS_CMFT	4	 LearnLA040	 ._LearnFA040	 ._LearnRA040	 LearnLA040_T2	 ._LearnFA040_T2	 LearnRA040_T1	 3	 3	 2	 7500	 4500	 1500	 7500	 TrialList	 1	 4	 1	 3577	 3	 3	 1	 3719	 3	 3	 1	 3237	 2	 2
103	20110504	AUS_CMFT	5	 LearnLA049	 ._LearnFA049	 LearnRA049	 ._LearnLA049_T3	 ._LearnFA049_T1	 ._LearnRA049_T3	 4	 2	 4	 1500	 7500	 6000	 1500	 TrialList	 1	 5	 1	 2433	 4	 4	 1	 1774	 2	 2	 1	 2483	 4	 4
103	20110504	AUS_CMFT	6	 LearnLA076	 LearnFA076	 LearnRA076	 LearnLA076_T1	 LearnFA076_T3	 LearnRA076_T1	 2	 4	 2	 7500	 7500	 1500	 4500	 TrialList	 1	 6	 1	 2440	 2	 2	 0	 0	 	 4	 1	 2244	 2	 2
104	20110504	AUS_CMFT	1	 LearnLA004	 ._LearnFA004	 LearnRA004	 ._LearnLA004_T1	 ._LearnFA004_T3	 LearnRA004_T3	 2	 4	 4	 15000	 7500	 3000	 1500	 TrialList	 1	 1	 1	 1295	 2	 2	 1	 1059	 4	 4	 1	 1183	 4	 4
104	20110504	AUS_CMFT	2	 LearnLA011	 ._LearnFA011	 ._LearnRA011	 ._LearnLA011_T2	 ._LearnFA011_T3	 LearnRA011_T3	 3	 4	 4	 1500	 7500	 6000	 4500	 TrialList	 1	 2	 1	 2047	 3	 3	 0	 2046	 2	 4	 1	 1916	 4	 4
104	20110504	AUS_CMFT	3	 LearnLA022	 ._LearnFA022	 LearnRA022	 LearnLA022_T3	 ._LearnFA022_T1	 ._LearnRA022_T1	 4	 2	 2	 7500	 4500	 7500	 7500	 TrialList	 1	 3	 0	 2549	 2	 4	 1	 2718	 2	 2	 1	 3017	 2	 2
104	20110504	AUS_CMFT	4	 LearnLA040	 ._LearnFA040	 ._LearnRA040	 LearnLA040_T2	 ._LearnFA040_T2	 LearnRA040_T1	 3	 3	 2	 7500	 4500	 1500	 7500	 TrialList	 1	 4	 1	 1294	 3	 3	 1	 892	 3	 3	 1	 1424	 2	 2
104	20110504	AUS_CMFT	5	 LearnLA049	 ._LearnFA049	 LearnRA049	 ._LearnLA049_T3	 ._LearnFA049_T1	 ._LearnRA049_T3	 4	 2	 4	 1500	 7500	 6000	 1500	 TrialList	 1	 5	 1	 1835	 4	 4	 0	 2200	 3	 2	 0	 2553	 3	 4
104	20110504	AUS_CMFT	6	 LearnLA076	 LearnFA076	 LearnRA076	 LearnLA076_T1	 LearnFA076_T3	 LearnRA076_T1	 2	 4	 2	 7500	 7500	 1500	 4500	 TrialList	 1	 6	 0	 4950	 3	 2	 1	 1963	 4	 4	 1	 3946	 2	 2
105	20110629	AUS_CMFT	1	 LearnLA004	 ._LearnFA004	 LearnRA004	 ._LearnLA004_T1	 ._LearnFA004_T3	 LearnRA004_T3	 2	 4	 4	 15000	 7500	 3000	 1500	 TrialList	 1	 1	 1	 2883	 2	 2	 1	 1873	 4	 4	 1	 2305	 4	 4
105	20110629	AUS_CMFT	2	 LearnLA011	 ._LearnFA011	 ._LearnRA011	 ._LearnLA011_T2	 ._LearnFA011_T3	 LearnRA011_T3	 3	 4	 4	 1500	 7500	 6000	 4500	 TrialList	 1	 2	 1	 3502	 3	 3	 1	 3435	 4	 4	 1	 2936	 4	 4
105	20110629	AUS_CMFT	3	 LearnLA022	 ._LearnFA022	 LearnRA022	 LearnLA022_T3	 ._LearnFA022_T1	 ._LearnRA022_T1	 4	 2	 2	 7500	 4500	 7500	 7500	 TrialList	 1	 3	 1	 2154	 4	 4	 1	 3435	 2	 2	 1	 2435	 2	 2
105	20110629	AUS_CMFT	4	 LearnLA040	 ._LearnFA040	 ._LearnRA040	 LearnLA040_T2	 ._LearnFA040_T2	 LearnRA040_T1	 3	 3	 2	 7500	 4500	 1500	 7500	 TrialList	 1	 4	 1	 3855	 3	 3	 1	 2837	 3	 3	 0	 0	 	 
105	20110629	AUS_CMFT	5	 LearnLA049	 ._LearnFA049	 LearnRA049	 ._LearnLA049_T3	 ._LearnFA049_T1	 ._LearnRA049_T3	 4	 2	 4	 1500	 7500	 6000	 1500	 TrialList	 1	 5	 1	 2127	 4	 4	 1	 3056	 2	 2	 1	 2688	 4	 4
105	20110629	AUS_CMFT	6	 LearnLA076	 LearnFA076	 LearnRA076	 LearnLA076_T1	 LearnFA076_T3	 LearnRA076_T1	 2	 4	 2	 7500	 7500	 1500	 4500	 TrialList	 1	 6	 1	 3496	 2	 2	 1	 2228	 4	 4	 0	 3721	 3	 2
109	20110418	AUS_CMFT	1	 LearnLA004	 ._LearnFA004	 LearnRA004	 ._LearnLA004_T1	 ._LearnFA004_T3	 LearnRA004_T3	 2	 4	 4	 15000	 7500	 3000	 1500	 TrialList	 1	 1	 1	 2008	 2	 2	 1	 1750	 4	 4	 1	 2035	 4	 4
109	20110418	AUS_CMFT	2	 LearnLA011	 ._LearnFA011	 ._LearnRA011	 ._LearnLA011_T2	 ._LearnFA011_T3	 LearnRA011_T3	 3	 4	 4	 1500	 7500	 6000	 4500	 TrialList	 1	 2	 1	 1179	 3	 3	 1	 1552	 4	 4	 1	 2720	 4	 4
